"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","LOGMARK","OFFSET","OFFSETAROUNDLATITUDE","OFFSETAROUNDLONGITUDE","SATELLITECOUNT","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858695028565606","170.5465785118117","","3.2473953","3.2300253","0.33542907","0","1763871595945"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869498895859","170.5465784429048","","3.2523305","3.2344277","0.3407804","0","1763871596170"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586949590684","170.54657838692174","","3.2560923","3.2377498","0.34512806","0","1763871596338"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869493204293","170.54657835615248","","3.2593334","3.2407537","0.3475176","0","1763871596561"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858694887833984","170.54657829915064","","3.2646933","3.2456675","0.3519444","0","1763871596722"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869484886006","170.54657823052315","","3.269578","3.2499993","0.357274","0","1763871596938"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869479500721","170.54657819699358","","3.275813","3.255985","0.3598779","0","1763871597163"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858694753480776","170.54657816378517","","3.2806847","3.2606006","0.3624569","0","1763871597333"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869472283149","170.54657810087048","","3.2846134","3.2640073","0.36734286","0","1763871597551"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869470134901","170.54657798821432","","3.2879753","3.266395","0.37609175","0","1763871597769"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858694687730114","170.54657783410963","","3.2908688","3.2679088","0.38805956","0","1763871597933"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869468071222","170.54657764197154","","3.2934358","3.2686887","0.40298104","0","1763871598157"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858694678941625","170.54657739391106","","3.2960436","3.2688856","0.42224547","0","1763871598323"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869468179576","170.5465771059156","","3.298669","3.2685683","0.44461125","0","1763871598537"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869469350545","170.54657680729878","","3.3005865","3.2672668","0.4678019","0","1763871598764"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869473157829","170.54657647742224","GPS Fixed Point Origin","3.3001306","3.263035","0.49342018","0","1763871598932"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869476662398","170.54657613007382","GPS Fixed Point Origin","3.3004248","3.2591398","0.52039534","0","1763871599145"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869479805911","170.5465757963633","GPS Fixed Point Origin","3.3011644","3.2556458","0.5463114","0","1763871599373"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869482546685","170.54657547594002","GPS Fixed Point Origin","3.3023732","3.2525995","0.5711955","0","1763871599534"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858694854148176","170.54657516905976","GPS Fixed Point Origin","3.3034427","3.2494116","0.59502786","0","1763871599754"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858694904106144","170.54657488150158","GPS Fixed Point Origin","3.3020833","3.2438588","0.6173597","0","1763871599974"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869495118412","170.54657463648127","GPS Fixed Point Origin","3.300559","3.2386262","0.63638806","0","1763871600143"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869501545779","170.5465744286167","GPS Fixed Point Origin","3.2967067","3.2314823","0.65253085","0","1763871600364"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858695068442934","170.5465742474892","GPS Fixed Point Origin","3.2937522","3.225593","0.66659725","0","1763871600536"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869511603089","170.54657406321235","GPS Fixed Point Origin","3.291503","3.2203038","0.68090826","0","1763871600745"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586951783716","170.54657388173734","GPS Fixed Point Origin","3.2876747","3.2133746","0.6950016","0","1763871600973"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869522740697","170.54657374340465","GPS Fixed Point Origin","3.2846391","3.2079244","0.70574456","0","1763871601130"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858695269941364","170.54657371103616","GPS Fixed Point Origin","3.280564","3.2031968","0.70825833","0","1763871601366"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869533167457","170.54657374660587","GPS Fixed Point Origin","3.273268","3.1963353","0.70549595","0","1763871601522"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869540954754","170.54657386278157","GPS Fixed Point Origin","3.262879","3.1876798","0.6964737","0","1763871601743"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869549451785","170.54657403886966","GPS Fixed Point Origin","3.250753","3.1782355","0.6827987","0","1763871601963"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869556521257","170.54657424151645","GPS Fixed Point Origin","3.2397943","3.1703777","0.6670611","0","1763871602123"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869564898267","170.5465744817414","GPS Fixed Point Origin","3.226883","3.161067","0.6484052","0","1763871602350"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858695743283235","170.54657472488185","GPS Fixed Point Origin","3.212863","3.1505857","0.62952286","0","1763871602573"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869584586077","170.54657496648832","GPS Fixed Point Origin","3.1980472","3.1391842","0.6107596","0","1763871602737"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869594872013","170.54657520849693","GPS Fixed Point Origin","3.1832771","3.1277516","0.5919652","0","1763871602954"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869603184256","170.5465754675798","GPS Fixed Point Origin","3.170509","3.1185126","0.57184476","0","1763871603120"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869611737972","170.54657571813001","GPS Fixed Point Origin","3.1576962","3.1090052","0.552387","0","1763871603354"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586961849807","170.54657597862823","GPS Fixed Point Origin","3.1468143","3.1014915","0.53215665","0","1763871603572"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869625724076","170.54657622474753","GPS Fixed Point Origin","3.1357148","3.0934598","0.513043","0","1763871603736"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869630794701","170.54657647519474","GPS Fixed Point Origin","3.1270258","3.0878239","0.4935932","0","1763871603954"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586963466557","170.54657670741727","GPS Fixed Point Origin","3.1199777","3.0835216","0.47555873","0","1763871604168"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869640056477","170.54657694663686","GPS Fixed Point Origin","3.111273","3.0775297","0.45698088","0","1763871604335"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869646192983","170.5465771909508","GPS Fixed Point Origin","3.1017904","3.070709","0.4380074","0","1763871604551"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869650955305","170.5465774379381","GPS Fixed Point Origin","3.0938954","3.0654159","0.4188263","0","1763871604773"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858696571119154","170.54657768588368","GPS Fixed Point Origin","3.0845623","3.0585728","0.39957082","0","1763871604934"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869664424563","170.54657793797273","GPS Fixed Point Origin","3.0740216","3.0504448","0.37999353","0","1763871605156"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869672182432","170.54657821303832","GPS Fixed Point Origin","3.0628905","3.0418222","0.35863188","0","1763871605326"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869678296833","170.54657848577088","GPS Fixed Point Origin","3.0537283","3.035026","0.3374514","0","1763871605545"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869685090856","170.54657877530224","GPS Fixed Point Origin","3.0438144","3.0274746","0.31496635","0","1763871605767"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858696904082436","170.5465790532652","GPS Fixed Point Origin","3.035774","3.0215645","0.2933797","0","1763871605933"
